Participant ID,Input Device,Round,Radius,Distance,Total Clicks,Missed Clicks,Click Times
1,mouse,1,30,100,10,0,"[8.353207349777222, 0.5561487674713135, 0.796048641204834, 0.6169571876525879, 0.5984423160552979, 0.6502513885498047, 0.699434757232666, 0.5187046527862549, 0.5216758251190186, 0.6089191436767578]"
1,mouse,2,30,300,10,0,"[0.8957445621490479, 0.7153470516204834, 0.7160389423370361, 0.7006564140319824, 0.8484547138214111, 0.8077595233917236, 0.9430639743804932, 0.6370697021484375, 0.8295624256134033, 1.0217700004577637]"
1,mouse,3,30,200,10,0,"[1.0215647220611572, 0.6022112369537354, 0.6221296787261963, 0.658217191696167, 0.6230616569519043, 0.7431313991546631, 0.637808084487915, 0.6631271839141846, 0.6163930892944336, 0.5500507354736328]"
1,mouse,4,20,100,10,0,"[0.9912574291229248, 0.6214356422424316, 0.762324333190918, 0.5489325523376465, 0.6182663440704346, 0.6511876583099365, 0.7191812992095947, 0.8283541202545166, 0.7532908916473389, 0.7611901760101318]"
1,mouse,5,20,300,10,0,"[1.0644187927246094, 0.8001022338867188, 0.8470776081085205, 0.9840459823608398, 7.310898065567017, 0.7992439270019531, 0.9337625503540039, 0.6833922863006592, 0.8992099761962891, 0.9931759834289551]"
1,mouse,6,20,200,10,0,"[0.9523768424987793, 0.7832880020141602, 0.8008568286895752, 0.9172754287719727, 0.7511558532714844, 0.5783071517944336, 0.7659461498260498, 0.7864875793457031, 0.7814505100250244, 0.7187948226928711]"
1,mouse,7,10,100,11,1,"[0.9614217281341553, 0.6995952129364014, 0.6865370273590088, 0.9113481044769287, 0.9323878288269043, 0.7367100715637207, 0.720149040222168, 0.7764294147491455, 1.253572702407837, 0.8121170997619629]"
1,mouse,8,10,300,10,0,"[1.1717619895935059, 0.9155359268188477, 1.0328538417816162, 1.1993436813354492, 1.036604881286621, 0.9632914066314697, 1.030238389968872, 1.0330932140350342, 1.016507625579834, 1.3316826820373535]"
1,mouse,9,10,200,10,0,"[0.8560781478881836, 1.117422342300415, 0.9482641220092773, 0.9155299663543701, 0.8558130264282227, 0.6935956478118896, 0.7647249698638916, 1.0021998882293701, 0.748671293258667, 0.9300754070281982]"
1,touchpad,1,30,100,11,1,"[4.756469964981079, 0.8161971569061279, 0.8505332469940186, 0.7161839008331299, 0.9978196620941162, 0.6834261417388916, 1.5656559467315674, 0.683558464050293, 0.9491016864776611, 0.8665370941162109]"
1,touchpad,2,30,300,11,1,"[0.9109859466552734, 0.9523258209228516, 0.897681474685669, 1.3632490634918213, 0.9883363246917725, 1.1164441108703613, 1.0439729690551758, 0.8680546283721924, 0.9468221664428711, 1.0654144287109375]"
1,touchpad,3,30,200,10,0,"[0.9953286647796631, 0.7742834091186523, 1.0582306385040283, 0.9469261169433594, 0.9313859939575195, 0.8346471786499023, 0.7828536033630371, 0.9008896350860596, 0.8642323017120361, 1.0853831768035889]"
1,touchpad,4,20,100,11,1,"[0.9389326572418213, 0.8634910583496094, 1.1343212127685547, 0.8251669406890869, 0.8716490268707275, 0.882338285446167, 0.7506763935089111, 1.002697467803955, 3.3127033710479736, 1.1654150485992432]"
1,touchpad,5,20,300,10,0,"[1.0945255756378174, 1.1633594036102295, 1.1173732280731201, 1.1868438720703125, 1.0110657215118408, 1.101121187210083, 1.6317479610443115, 1.0146853923797607, 0.983501672744751, 1.0338349342346191]"
1,touchpad,6,20,200,10,0,"[0.9634122848510742, 0.7751750946044922, 1.0930702686309814, 1.013308048248291, 1.1493785381317139, 1.399686336517334, 1.1467368602752686, 0.8574130535125732, 0.9099984169006348, 0.8000838756561279]"
1,touchpad,7,10,100,10,0,"[1.138134479522705, 1.30507230758667, 1.2503926753997803, 0.933053731918335, 0.932896614074707, 1.0989534854888916, 0.799433708190918, 0.8336234092712402, 1.116466760635376, 0.9654619693756104]"
1,touchpad,8,10,300,10,0,"[1.0852744579315186, 1.144045114517212, 1.24880051612854, 1.2673861980438232, 1.2328684329986572, 1.0318882465362549, 1.2013216018676758, 1.5101191997528076, 1.3852250576019287, 1.0000145435333252]"
1,touchpad,9,10,200,11,1,"[0.9926559925079346, 1.049452304840088, 0.9541406631469727, 1.498138666152954, 1.136030673980713, 1.0803205966949463, 0.8964595794677734, 1.0980429649353027, 0.9998421669006348, 1.0019488334655762]"
