Participant ID,Input Device,Round,Radius,Distance,Total Clicks,Missed Clicks,Click Times
2,touchpad,1,30,100,12,2,"[48.11714720726013, 1.2161438465118408, 1.051435947418213, 1.1015782356262207, 1.0166962146759033, 1.0815632343292236, 1.360222339630127, 0.9689216613769531, 0.9462971687316895, 1.7657396793365479]"
2,touchpad,2,30,300,10,0,"[1.1936979293823242, 1.0582637786865234, 1.2772572040557861, 1.2797131538391113, 1.2497775554656982, 1.3677518367767334, 1.2572593688964844, 1.5888829231262207, 1.0473637580871582, 1.1183018684387207]"
2,touchpad,3,30,200,10,0,"[0.9381279945373535, 1.0169172286987305, 0.8832783699035645, 1.0303738117218018, 1.1683003902435303, 1.2525315284729004, 0.9807531833648682, 1.0322096347808838, 1.0325186252593994, 0.9981420040130615]"
2,touchpad,4,20,100,11,1,"[1.2972609996795654, 1.1730661392211914, 0.8417501449584961, 0.8021681308746338, 1.013535499572754, 0.966033935546875, 1.54856538772583, 0.8998641967773438, 0.8489086627960205, 1.0155904293060303]"
2,touchpad,5,20,300,11,1,"[1.27260422706604, 1.3668336868286133, 1.0469436645507812, 1.9361934661865234, 1.1360158920288086, 1.531677484512329, 1.2451207637786865, 1.4521729946136475, 1.0456361770629883, 1.3491997718811035]"
2,touchpad,6,20,200,13,3,"[1.099045991897583, 1.5864872932434082, 1.0944771766662598, 0.9651415348052979, 2.667025566101074, 1.164994478225708, 1.1478686332702637, 1.1499509811401367, 2.5312302112579346, 1.088045597076416]"
2,touchpad,7,10,100,10,0,"[1.515216588973999, 1.5450196266174316, 1.300489902496338, 1.2003719806671143, 1.2299213409423828, 1.3146867752075195, 1.1004612445831299, 1.3320972919464111, 1.1823468208312988, 1.5669116973876953]"
2,touchpad,8,10,300,12,2,"[2.525486946105957, 1.4995090961456299, 1.430572271347046, 1.7043960094451904, 1.496608018875122, 1.7306153774261475, 1.5380985736846924, 1.5442626476287842, 2.3480727672576904, 1.8061349391937256]"
2,touchpad,9,10,200,11,1,"[1.038376808166504, 2.1902925968170166, 1.5231878757476807, 1.9014551639556885, 1.9787356853485107, 1.3178861141204834, 1.2830405235290527, 1.4316856861114502, 1.4084100723266602, 2.0211901664733887]"
2,mouse,1,30,100,11,1,"[8.198877096176147, 1.0410823822021484, 1.0590567588806152, 0.930943489074707, 1.0651259422302246, 0.846365213394165, 0.735119104385376, 0.8836946487426758, 0.75010085105896, 0.7811312675476074]"
